product_code,unit_of_order_code,product_name(do not edit),quantity_type(do not edit),product_tag,extra_product_details,tax_applicable(Yes or No),availability(available or limited or unavailable or hidden),cost,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,product_id(do not edit),quantity_type_id(do not edit)
'M1506','',Beetroot Peeled,Bag (5kg),'J4','48 hours notice required for this product','No','available',20.00,31.00,33.00,37.00,33.00,33.00,30.00,37.00,30.00,dc0d3567-8f81-416b-9b06-0fdeeceff37c,305f8071-b64c-488d-8ac9-09703d6e68b1
'P2011','',Betel Leaves,Bunch,'O5','','No','available',3.00,4.65,5.25,5.70,5.25,5.25,4.50,5.70,4.50,ebf0b361-6ac0-41fe-9186-7829e9c8e26c,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'P2012','',Betel Leaves,Kg,'O5','','No','available',27.27,45.00,48.00,54.00,48.00,48.00,44.00,54.00,44.00,ebf0b361-6ac0-41fe-9186-7829e9c8e26c,94ab9910-b3ea-495c-a740-198b0364a92f
'H0740','',Bittermelon,Box,'E4','','No','available',45.00,60.00,66.00,73.00,66.00,66.00,58.00,73.00,58.00,d0613044-b5c5-4a8d-a839-f89e2861e949,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'H0741','',Bittermelon,Kg,'E4','','No','available',4.50,7.50,8.50,9.50,8.50,8.50,7.00,9.50,7.00,d0613044-b5c5-4a8d-a839-f89e2861e949,94ab9910-b3ea-495c-a740-198b0364a92f
'B0104','',Black Sapote,Each,'D','','No','unavailable',5.00,7.50,7.50,9.00,7.50,7.50,7.50,9.00,7.50,6858c993-2efc-4d95-8022-707dc0d359d1,8d446963-03cb-4081-9ba7-4909f3208813
'F0500','',Blackberries,Pn,'E6','','No','available',6.00,8.20,8.60,9.10,8.60,8.60,7.90,9.10,7.00,7e0f8170-a8b9-4092-8ee8-fa36c5d75ef4,8f170da3-9efc-40c7-b607-758d6b00e8a2
'F0501','',Blackberries,Tray,'E6','','No','available',72.00,92.00,96.00,100.00,96.00,96.00,90.00,100.00,77.00,7e0f8170-a8b9-4092-8ee8-fa36c5d75ef4,4e2dbf0a-c55a-47d1-9e87-a086f2c847b4
'F0527','',Blackcurrants,Pn,'E6','','No','unavailable',5.50,6.99,7.20,8.39,7.20,7.20,6.99,8.39,6.99,cfde6d85-5574-4684-b4e5-d6d2b8c0dbdc,8f170da3-9efc-40c7-b607-758d6b00e8a2
'N1867','PUN',Blood Mustard,Pn,'N4','','No','limited',5.00,7.50,8.00,9.00,8.00,8.00,7.50,9.00,7.50,368da65e-90f1-4bb8-91c2-f056dfdee790,8f170da3-9efc-40c7-b607-758d6b00e8a2
'F0502','',Blueberries,Pn,'E6','','No','available',3.58,5.20,5.60,5.95,5.60,5.60,5.00,5.95,6.00,9a1d98b6-49dd-42f8-80cc-7dd4a1578c47,8f170da3-9efc-40c7-b607-758d6b00e8a2
'F0503','',Blueberries,Tray,'E6','','No','available',43.00,56.00,59.00,63.00,59.00,59.00,54.00,63.00,66.00,9a1d98b6-49dd-42f8-80cc-7dd4a1578c47,4e2dbf0a-c55a-47d1-9e87-a086f2c847b4
'J1103','',Bok Choy,Bunch,'L2','','No','available',1.06,1.75,1.95,2.30,1.95,1.95,1.80,2.30,1.80,8ffb41b6-d79b-4782-a4fe-186e82989914,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
